cohesion,syntax,vocabulary,phraseology,grammar,conventions,text_id
3.0156805515289307,2.9595561027526855,3.2051162719726562,3.1877682209014893,3.1992850303649902,2.9350790977478027,0016926B079C
2.68487286567688,2.6043262481689453,2.8448874950408936,2.678245782852173,2.439275026321411,2.6415553092956543,0022683E9EA5
2.991865396499634,2.979623317718506,3.1194918155670166,2.9816677570343018,2.9712424278259277,3.0203633308410645,00299B378633
3.662036180496216,3.597531318664551,3.7540442943573,3.753816843032837,3.6629345417022705,3.841078281402588,003885A45F42
2.4635565280914307,2.2671055793762207,2.764517307281494,2.6808865070343018,2.548980236053467,2.3655123710632324,0049B1DF5CCC
3.0989015102386475,3.0696959495544434,3.162895441055298,3.1505749225616455,3.203235149383545,3.276829242706299,004AC288D833
3.27740740776062,3.38600754737854,3.364649534225464,3.315182685852051,3.334690570831299,3.4695653915405273,005661280443
2.8047759532928467,2.7744357585906982,2.884267568588257,2.646542549133301,2.498722553253174,2.4339799880981445,008DDDDD8E8D
2.91424822807312,2.7828915119171143,3.2398478984832764,3.1021223068237305,2.9919228553771973,2.7561864852905273,009BCCC61C2A
2.749985694885254,2.5022218227386475,2.995206832885742,2.7046096324920654,2.429032802581787,2.4659297466278076,009F4E9310CB
3.3838436603546143,3.2409911155700684,3.2520830631256104,3.3220746517181396,3.327327251434326,3.14591646194458,00B21F9B726F
3.619269609451294,3.511627674102783,3.6349074840545654,3.660606622695923,3.32194447517395,3.5796685218811035,00BCADB373EF
2.974756956100464,2.9182064533233643,3.0313007831573486,3.1902709007263184,3.11494779586792,2.449982166290283,00D281524375
3.6309003829956055,3.643587112426758,3.883864641189575,3.7154293060302734,3.7249789237976074,3.599933385848999,00ED2563D0B1
3.2756824493408203,3.337743043899536,3.664637804031372,3.573401927947998,3.5449748039245605,3.422152519226074,011AAA636F11
2.4560163021087646,2.154946804046631,2.6851751804351807,2.2578237056732178,2.0421881675720215,2.433468818664551,01350DF42AED
3.004429578781128,2.6915132999420166,3.125307321548462,2.9181299209594727,2.6533169746398926,2.83931827545166,01405C3C569D
3.537076950073242,3.5218803882598877,3.6061785221099854,3.7729806900024414,3.674722194671631,3.3615148067474365,01501F95B8B2
3.245615243911743,2.9680428504943848,3.3660295009613037,2.997072458267212,2.8590824604034424,3.0603604316711426,017802562E71
3.5053274631500244,3.38551664352417,3.4527671337127686,3.4185678958892822,3.5639374256134033,3.4651055335998535,01794F5F1423
2.381499767303467,2.2563388347625732,2.8605852127075195,2.3512725830078125,2.2189691066741943,2.3319928646087646,017D2125A1DE
2.865539789199829,2.968442440032959,2.9748003482818604,2.9881417751312256,2.8475489616394043,3.08349609375,01911AC9674D
2.67515230178833,2.8376567363739014,2.835113525390625,2.7620339393615723,2.64593768119812,3.054443120956421,019BDC9DF7CD
3.7845699787139893,3.8160958290100098,3.8156354427337646,3.923231363296509,4.0322370529174805,3.6776204109191895,01A65BA4080E
4.128731727600098,4.121829032897949,4.346752643585205,4.166619300842285,4.2477240562438965,4.356898307800293,01B3FDB3FD57
2.345292091369629,2.2688136100769043,2.509697914123535,2.2685515880584717,2.1779799461364746,2.080204725265503,01C53183305A
